brand,manufacturer_part_number,description,motor_type,rated_power_kw,voltage_v,frequency_hz,speed_rpm,current_a,efficiency_percent,power_factor,ip_rating,insulation_class,mounting,duty,frame_size,ambient_temperature_c,weight_kg,poles,series,source_type,source_reference
ABB,AB-03000-4P-108,"3 kW three-phase induction motor, 4-pole, 415 V, 50 Hz",Three-phase induction motor,3.0,415,50,1480,5.94,87.9,0.8,IP65,F,B35,S1,180,40,13.0,4,BVM,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-37000-2P-109,"37 kW three-phase induction motor, 2-pole, 415 V, 50 Hz",Three-phase induction motor,37.0,415,50,2940,58.28,96.0,0.92,IP56,F,B5,S1,112,40,93.9,2,GX,starter_seed,Synthetic starter record for development/testing
WEG,WE-45000-4P-110,"45 kW three-phase induction motor, 4-pole, 415 V, 50 Hz",Three-phase induction motor,45.0,415,50,1475,71.89,95.7,0.91,IP55,F,B5,S1,280,40,111.8,4,GX,starter_seed,Synthetic starter record for development/testing
ABB,AB-01500-2P-111,"1.5 kW three-phase induction motor, 2-pole, 400 V, 50 Hz",Three-phase induction motor,1.5,400,50,2940,3.3,84.1,0.78,IP65,F,B3,S1,100,40,14.5,2,BVM,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-18500-6P-112,"18.5 kW three-phase induction motor, 6-pole, 400 V, 50 Hz",Three-phase induction motor,18.5,400,50,960,32.52,93.3,0.88,IP55,F,B5,S1,180,40,50.5,6,W22,starter_seed,Synthetic starter record for development/testing
ABB,AB-75000-2P-113,"75 kW three-phase induction motor, 2-pole, 415 V, 50 Hz",Three-phase induction motor,75.0,415,50,2945,114.41,96.0,0.95,IP65,F,B5,S1,160,40,161.3,2,W22,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-07500-4P-114,"7.5 kW three-phase induction motor, 4-pole, 415 V, 50 Hz",Three-phase induction motor,7.5,415,50,1480,13.65,91.0,0.84,IP65,F,B35,S1,80,40,31.0,4,W22,starter_seed,Synthetic starter record for development/testing
ABB,AB-04000-4P-115,"4 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,4.0,400,50,1470,8.43,87.8,0.78,IP65,F,B35,S1,100,40,16.8,4,1LE1,starter_seed,Synthetic starter record for development/testing
ABB,AB-01500-6P-116,"1.5 kW three-phase induction motor, 6-pole, 380 V, 50 Hz",Three-phase induction motor,1.5,380,50,980,3.52,85.2,0.76,IP55,F,B5,S1,100,40,16.7,6,BVM,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-01500-2P-117,"1.5 kW three-phase induction motor, 2-pole, 380 V, 50 Hz",Three-phase induction motor,1.5,380,50,2945,3.55,86.7,0.74,IP55,F,B5,S1,90,40,15.7,2,GX,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-45000-4P-118,"45 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,45.0,380,50,1470,80.02,96.0,0.89,IP55,F,B5,S1,180,40,107.4,4,BVM,starter_seed,Synthetic starter record for development/testing
CG Power,CG-75000-6P-119,"75 kW three-phase induction motor, 6-pole, 380 V, 50 Hz",Three-phase induction motor,75.0,380,50,970,124.95,96.0,0.95,IP55,F,B3,S1,80,40,164.3,6,1LE1,starter_seed,Synthetic starter record for development/testing
Siemens,SI-11000-4P-120,"11 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,11.0,380,50,1470,21.59,90.0,0.86,IP55,F,B5,S1,100,40,33.6,4,1LE1,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-90000-6P-121,"90 kW three-phase induction motor, 6-pole, 380 V, 50 Hz",Three-phase induction motor,90.0,380,50,970,149.94,96.0,0.95,IP55,F,B5,S1,180,40,205.7,6,W22,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-37000-6P-122,"37 kW three-phase induction motor, 6-pole, 415 V, 50 Hz",Three-phase induction motor,37.0,415,50,975,60.25,96.0,0.89,IP55,F,B5,S1,180,40,82.4,6,BVM,starter_seed,Synthetic starter record for development/testing
CG Power,CG-22000-2P-123,"22 kW three-phase induction motor, 2-pole, 380 V, 50 Hz",Three-phase induction motor,22.0,380,50,2955,40.63,93.5,0.88,IP55,F,B5,S1,225,40,62.1,2,W22,starter_seed,Synthetic starter record for development/testing
Siemens,SI-18500-2P-124,"18.5 kW three-phase induction motor, 2-pole, 415 V, 50 Hz",Three-phase induction motor,18.5,415,50,2940,31.34,94.4,0.87,IP55,F,B5,S1,112,40,52.5,2,1LE1,starter_seed,Synthetic starter record for development/testing
Siemens,SI-02200-2P-125,"2.2 kW three-phase induction motor, 2-pole, 380 V, 50 Hz",Three-phase induction motor,2.2,380,50,2950,5.16,85.3,0.76,IP55,F,B3,S1,280,40,21.8,2,GX,starter_seed,Synthetic starter record for development/testing
CG Power,CG-45000-6P-126,"45 kW three-phase induction motor, 6-pole, 415 V, 50 Hz",Three-phase induction motor,45.0,415,50,980,70.89,96.0,0.92,IP55,F,B3,S1,280,40,103.5,6,GX,starter_seed,Synthetic starter record for development/testing
CG Power,CG-15000-4P-127,"15 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,15.0,380,50,1480,29.69,92.5,0.83,IP56,F,B3,S1,200,40,34.4,4,W22,starter_seed,Synthetic starter record for development/testing
ABB,AB-01500-6P-128,"1.5 kW three-phase induction motor, 6-pole, 415 V, 50 Hz",Three-phase induction motor,1.5,415,50,980,3.18,85.2,0.77,IP56,F,B35,S1,80,40,15.6,6,W22,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-55000-6P-129,"55 kW three-phase induction motor, 6-pole, 380 V, 50 Hz",Three-phase induction motor,55.0,380,50,965,92.6,96.0,0.94,IP55,F,B35,S1,160,40,127.8,6,M2BAX,starter_seed,Synthetic starter record for development/testing
Siemens,SI-45000-4P-130,"45 kW three-phase induction motor, 4-pole, 415 V, 50 Hz",Three-phase induction motor,45.0,415,50,1480,72.46,96.0,0.9,IP56,F,B5,S1,132,40,108.9,4,BVM,starter_seed,Synthetic starter record for development/testing
ABB,AB-18500-2P-131,"18.5 kW three-phase induction motor, 2-pole, 380 V, 50 Hz",Three-phase induction motor,18.5,380,50,2950,34.73,94.1,0.86,IP65,F,B3,S1,132,40,46.2,2,BVM,starter_seed,Synthetic starter record for development/testing
Siemens,SI-22000-4P-132,"22 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,22.0,380,50,1475,39.14,94.9,0.9,IP65,F,B5,S1,132,40,58.5,4,W22,starter_seed,Synthetic starter record for development/testing
Siemens,SI-75000-2P-133,"75 kW three-phase induction motor, 2-pole, 415 V, 50 Hz",Three-phase induction motor,75.0,415,50,2955,116.87,96.0,0.93,IP55,F,B5,S1,100,40,174.7,2,GX,starter_seed,Synthetic starter record for development/testing
Siemens,SI-07500-2P-134,"7.5 kW three-phase induction motor, 2-pole, 380 V, 50 Hz",Three-phase induction motor,7.5,380,50,2945,15.12,89.7,0.84,IP65,F,B35,S1,225,40,31.9,2,M2BAX,starter_seed,Synthetic starter record for development/testing
WEG,WE-03000-6P-135,"3 kW three-phase induction motor, 6-pole, 380 V, 50 Hz",Three-phase induction motor,3.0,380,50,975,6.53,86.2,0.81,IP55,F,B35,S1,250,40,15.3,6,GX,starter_seed,Synthetic starter record for development/testing
WEG,WE-07500-4P-136,"7.5 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,7.5,400,50,1480,14.07,91.6,0.84,IP65,F,B3,S1,112,40,22.7,4,GX,starter_seed,Synthetic starter record for development/testing
Siemens,SI-22000-6P-137,"22 kW three-phase induction motor, 6-pole, 400 V, 50 Hz",Three-phase induction motor,22.0,400,50,980,39.12,94.4,0.86,IP65,F,B35,S1,180,40,54.9,6,1LE1,starter_seed,Synthetic starter record for development/testing
Siemens,SI-03000-4P-138,"3 kW three-phase induction motor, 4-pole, 415 V, 50 Hz",Three-phase induction motor,3.0,415,50,1460,6.12,87.5,0.78,IP65,F,B3,S1,90,40,12.9,4,1LE1,starter_seed,Synthetic starter record for development/testing
WEG,WE-45000-6P-139,"45 kW three-phase induction motor, 6-pole, 400 V, 50 Hz",Three-phase induction motor,45.0,400,50,965,72.2,95.7,0.94,IP55,F,B3,S1,200,40,103.1,6,GX,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-22000-2P-140,"22 kW three-phase induction motor, 2-pole, 380 V, 50 Hz",Three-phase induction motor,22.0,380,50,2955,41.84,94.0,0.85,IP55,F,B3,S1,90,40,50.4,2,W22,starter_seed,Synthetic starter record for development/testing
CG Power,CG-03000-6P-141,"3 kW three-phase induction motor, 6-pole, 400 V, 50 Hz",Three-phase induction motor,3.0,400,50,975,6.07,88.0,0.81,IP55,F,B3,S1,80,40,21.7,6,BVM,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-75000-4P-142,"75 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,75.0,400,50,1460,123.92,96.0,0.91,IP56,F,B35,S1,112,40,172.2,4,GX,starter_seed,Synthetic starter record for development/testing
ABB,AB-02200-4P-143,"2.2 kW three-phase induction motor, 4-pole, 415 V, 50 Hz",Three-phase induction motor,2.2,415,50,1480,4.63,84.7,0.78,IP55,F,B5,S1,112,40,13.5,4,BVM,starter_seed,Synthetic starter record for development/testing
WEG,WE-07500-6P-144,"7.5 kW three-phase induction motor, 6-pole, 380 V, 50 Hz",Three-phase induction motor,7.5,380,50,975,15.62,91.2,0.8,IP55,F,B35,S1,160,40,26.5,6,BVM,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-00750-4P-145,"0.75 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,0.75,380,50,1475,1.72,84.8,0.78,IP55,F,B5,S1,132,40,16.2,4,W22,starter_seed,Synthetic starter record for development/testing
Siemens,SI-02200-6P-146,"2.2 kW three-phase induction motor, 6-pole, 380 V, 50 Hz",Three-phase induction motor,2.2,380,50,970,5.05,84.8,0.78,IP55,F,B35,S1,280,40,14.1,6,GX,starter_seed,Synthetic starter record for development/testing
Siemens,SI-03000-2P-147,"3 kW three-phase induction motor, 2-pole, 380 V, 50 Hz",Three-phase induction motor,3.0,380,50,2955,6.92,86.7,0.76,IP55,F,B5,S1,112,40,23.2,2,BVM,starter_seed,Synthetic starter record for development/testing
CG Power,CG-90000-4P-148,"90 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,90.0,380,50,1470,153.16,96.0,0.93,IP55,F,B35,S1,160,40,196.3,4,M2BAX,starter_seed,Synthetic starter record for development/testing
WEG,WE-37000-4P-149,"37 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,37.0,400,50,1475,63.28,95.9,0.88,IP55,F,B35,S1,200,40,84.0,4,M2BAX,starter_seed,Synthetic starter record for development/testing
CG Power,CG-01500-4P-150,"1.5 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,1.5,380,50,1480,3.5,85.8,0.76,IP55,F,B35,S1,90,40,9.9,4,GX,starter_seed,Synthetic starter record for development/testing
